"name","iso3c","first_period","last_period","un_area","un_region","plot_area"
"Burundi","BDI","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Comoros","COM","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Djibouti","DJI","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Eritrea","ERI","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Ethiopia","ETH","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Kenya","KEN","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Madagascar","MDG","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Malawi","MWI","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Mauritius","MUS","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Mayotte","MYT","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Mozambique","MOZ","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Rwanda","RWA","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Réunion","REU","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Seychelles","SYC","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Somalia","SOM","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"South Sudan","SSD","2010--2015","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Tanzania","TZA","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Uganda","UGA","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Zambia","ZMB","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Zimbabwe","ZWE","1990--1995","2015--2020","Africa","Eastern Africa","Sub-Saharan Africa"
"Angola","AGO","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"Cameroon","CMR","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"Central African Republic","CAF","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"Chad","TCD","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"Congo","COG","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"DR Congo","COD","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"Equatorial Guinea","GNQ","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
"Gabon","GAB","1990--1995","2015--2020","Africa","Middle Africa","Sub-Saharan Africa"
